Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P
카카오,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,62300.0,256269.0,-0.11,0.89,,36,2.16,64.8,3.36,14.2,종목 0.2% vs KOSDAQ 10.2%,13.0,트리거: 63400.00 상향 돌파(20D High) | 품질: close_not_confirm(need>63463.40),63400.00 위 '종가확인' + 거래량 유지 시,SMA50(59158.00) 이탈 또는 Stop 58114.29,"Vol 2.2x (강함), MACD 완만개선, RSI 65",,"돌파 품질 미충족: close_not_confirm(need>63463.40) (Vol 2.16x, 기준 1.5x)",,,,,,199557554265,035720.KQ,3
현대모비스,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,517000.0,461633.0,-0.13,0.87,,36,2.5,71.5,3.85,26.1,종목 12.4% vs KOSPI 22.8%,2.6,트리거: 531000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>531531.00),531000.00 위 '종가확인' + 거래량 유지 시,SMA50(422100.00) 이탈 또는 Stop 477214.29,"Vol 2.5x (강함), MACD 완만개선, RSI 71",,"돌파 품질 미충족: close_not_confirm(need>531531.00) (Vol 2.50x, 기준 1.5x)",,,,,,198409450300,012330.KS,3
현대오토에버,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,501000.0,119020.0,-0.12,0.88,,36,2.74,61.9,6.92,16.1,종목 13.1% vs KOSDAQ 10.2%,7.7,트리거: 530000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>530530.00) / upper_wick_high(0.70),530000.00 위 '종가확인' + 거래량 유지 시,SMA50(406690.00) 이탈 또는 Stop 431642.86,"Vol 2.7x (강함), MACD 완만개선, RSI 62",,"돌파 품질 미충족: close_not_confirm(need>530530.00) / upper_wick_high(0.70) (Vol 2.74x, 기준 1.5x)",,,,,,135309182100,307950.KQ,3
현대로템,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,230500.0,251573.0,-0.12,0.88,,32,1.92,51.1,4.85,9.6,종목 9.0% vs KOSPI 22.8%,7.6,트리거: 234000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>234234.00) / upper_wick_high(0.65),234000.00 위 '종가확인' + 거래량 유지 시,SMA50(206910.00) 이탈 또는 Stop 208142.86,"Vol 1.9x, MACD 완만개선, RSI 51",,"돌파 품질 미충족: close_not_confirm(need>234234.00) / upper_wick_high(0.65) (Vol 1.92x, 기준 1.5x)",,,,,,208104015025,064350.KS,3
HD현대중공업,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,603000.0,632916.0,-0.15,0.85,,32,1.67,56.7,4.41,34.3,종목 2.6% vs KOSPI 22.8%,7.5,트리거: 611000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>611611.00) / upper_wick_high(0.68),611000.00 위 '종가확인' + 거래량 유지 시,SMA50(570000.00) 이탈 또는 Stop 549857.14,"Vol 1.7x, MACD 완만개선, RSI 57",,"돌파 품질 미충족: close_not_confirm(need>611611.00) / upper_wick_high(0.68) (Vol 1.67x, 기준 1.5x)",,,,,,145437071700,329180.KS,3
현대건설,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,164700.0,185140.0,-0.22,0.78,,26,4.6,86.4,6.33,55.7,종목 55.5% vs KOSPI 22.8%,6.9,트리거: 163400.00 상향 돌파(20D High) | 품질: upper_wick_high(0.72),163400.00 위 '종가확인' + 거래량 유지 시,SMA50(99184.00) 이탈 또는 Stop 143857.14,"Vol 4.6x (강함), MACD 완만개선",,"돌파 품질 미충족: upper_wick_high(0.72) (Vol 4.60x, 기준 1.5x)",,,,,,276057248510,000720.KS,3
삼성전자,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,216500.0,14475370.0,-0.27,0.73,,22,1.61,82.6,3.88,30.6,종목 35.7% vs KOSPI 22.8%,2.9,트리거: 219000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>219219.00),219000.00 위 '종가확인' + 거래량 유지 시,SMA50(149620.00) 이탈 또는 Stop 199700.00,"Vol 1.6x, MACD 완만개선",,"돌파 품질 미충족: close_not_confirm(need>219219.00) (Vol 1.61x, 기준 1.5x)",,,,,,5733628591005,005930.KS,3
기아,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,205500.0,794511.0,-0.24,0.76,,22,1.77,88.1,3.99,40.9,종목 33.9% vs KOSPI 22.8%,3.3,트리거: 208000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>208208.00),208000.00 위 '종가확인' + 거래량 유지 시,SMA50(147686.00) 이탈 또는 Stop 189107.14,"Vol 1.8x, MACD 완만개선",,"돌파 품질 미충족: close_not_confirm(need>208208.00) (Vol 1.77x, 기준 1.5x)",,,,,,282968717940,000270.KS,3
두산에너빌리티,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,106300.0,680814.0,-0.3,0.7,,18,1.12,65.4,4.36,19.8,종목 13.6% vs KOSPI 22.8%,3.5,트리거: 106800.00 상향 돌파(20D High),106800.00 돌파+거래량 동반 시,SMA50(88812.00) 이탈 또는 Stop 97028.57,"MACD 완만개선, RSI 65",,현재 Vol 1.12x,,,,,,713345958025,034020.KS,3
삼성SDI,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,466000.0,366712.0,-0.3,0.7,,18,1.09,70.6,4.76,29.8,종목 20.3% vs KOSPI 22.8%,1.6,트리거: 457000.00 상향 돌파(20D High),457000.00 돌파+거래량 동반 시,SMA50(338070.00) 이탈 또는 Stop 421642.86,"MACD 완만개선, RSI 71",,현재 Vol 1.09x,,,,,,444210232275,006400.KS,3
