Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P,Promoted
현대차,Consumer Cyclical,BUY_BREAKOUT,BUY_BREAKOUT,674000.0,1754399.0,1.2153956763404725,0.7484444852501596,1.96,27,1.78,81.4,5.07,21.7,종목 38.0% vs KOSPI 22.8%,1.9,20D High 618000.00 돌파 + Vol 1.78x (기준 1.5x),674000.00 위에서 분할(돌파 유지 시),SMA50(426820.00) 이탈 또는 Stop 605714.29,"Vol 1.8x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,674000.0,605714.29,807728.57,8.0,5392000.0,1293061261200,005380.KS,0,False
한미반도체,Technology,BUY_BREAKOUT,BUY_BREAKOUT,323500.0,306849.0,1.3482898015308482,0.7960304411968977,1.95,31,2.66,85.3,6.09,44.6,종목 85.1% vs KOSPI 22.8%,2.7,20D High 277500.00 돌파 + Vol 2.66x (기준 1.5x),323500.00 위에서 분할(돌파 유지 시),SMA50(176100.00) 이탈 또는 Stop 284085.71,"Vol 2.7x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,323500.0,284085.71,400163.93,15.0,4852500.0,570568417565,042700.KS,0,False
올릭스,Healthcare,BUY_BREAKOUT,BUY_BREAKOUT,180000.0,36207.0,1.5439730272610372,0.8652969480479719,1.94,41,2.0,70.9,6.49,21.4,종목 20.1% vs KOSDAQ 10.2%,3.0,20D High 166600.00 돌파 + Vol 2.00x (기준 1.5x),180000.00 위에서 분할(돌파 유지 시),SMA50(138912.00) 이탈 또는 Stop 156628.57,"Vol 2.0x (강함), MACD 완만개선, RSI 71",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,180000.0,156628.57,225402.14,25.0,4500000.0,58319847570,226950.KQ,0,False
서진시스템,Technology,BUY_BREAKOUT,BUY_BREAKOUT,47550.0,26698.0,1.586841356733963,0.8828810091242195,1.93,50,4.1,68.6,7.23,44.7,종목 35.1% vs KOSDAQ 10.2%,3.8,20D High 42800.00 돌파 + Vol 4.10x (기준 1.5x),47550.00 위에서 분할(돌파 유지 시),SMA50(31281.00) 이탈 또는 Stop 40671.43,"Vol 4.1x (강함), MACD 상향크로스, RSI 69",CROSS_UP,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,47550.0,40671.43,60814.11,88.0,4184400.0,84194504515,178320.KQ,0,False
인벤티지랩,Healthcare,BUY_BREAKOUT,BUY_BREAKOUT,93600.0,11577.0,1.4639629595544958,0.8525823389461924,1.89,41,3.53,67.5,7.24,20.9,종목 17.0% vs KOSDAQ 10.2%,5.5,20D High 89800.00 돌파 + Vol 3.53x (기준 1.5x),93600.00 위에서 분할(돌파 유지 시),SMA50(79692.00) 이탈 또는 Stop 80042.86,"Vol 3.5x (강함), MACD 완만개선, RSI 67",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,93600.0,80042.86,119163.21,44.0,4118400.0,18543621675,389470.KQ,0,False
에스엘,Consumer Cyclical,BUY_BREAKOUT,BUY_BREAKOUT,73400.0,33805.0,1.2676179107899639,0.7928733953811062,1.86,27,1.96,74.6,5.74,28.0,종목 29.5% vs KOSPI 22.8%,5.2,20D High 72900.00 돌파 + Vol 1.96x (기준 1.5x),73400.00 위에서 분할(돌파 유지 시),SMA50(51477.00) 이탈 또는 Stop 64978.57,"Vol 2.0x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,73400.0,64978.57,89053.39,72.0,5284800.0,20681958430,005850.KS,0,False
이수페타시스,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,127600.0,93670.0,1.89,0.85,2.42,32,1.81,52.0,5.46,18.7,종목 7.3% vs KOSPI 22.8%,18.5,트리거: 130000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>130130.00),130000.00 위 '종가확인' + 거래량 유지 시,SMA50(116626.00) 이탈 또는 Stop 113657.14,"Vol 1.8x, MACD 완만개선, RSI 52",,"돌파 품질 미충족: close_not_confirm(need>130130.00) (Vol 1.81x, 기준 1.5x)",127600.0,113657.14,161298.0,43.0,5486800.0,191789892280,007660.KS,3,False
비에이치아이,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,93500.0,28931.0,1.21,0.74,2.0,43,1.04,68.9,5.52,30.8,종목 31.3% vs KOSDAQ 10.2%,0.8,트리거: 94300.00 상향 돌파(20D High),94300.00 돌파+거래량 동반 시,SMA50(66494.00) 이탈 또는 Stop 83171.43,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 1.04x,93500.0,83171.43,114135.36,58.0,5423000.0,57360008880,083650.KQ,3,False
제이에스링크,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,39050.0,11728.0,0.85,0.62,2.0,15,0.65,69.4,8.16,61.2,종목 69.8% vs KOSDAQ 10.2%,1.3,트리거: 39000.00 상향 돌파(20D High),39000.00 돌파+거래량 동반 시,SMA50(23467.60) 이탈 또는 Stop 32678.57,RSI 69,,현재 Vol 0.65x,39050.0,32678.57,51777.14,95.0,3709750.0,12266099077,127120.KQ,3,False
두산,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,1278000.0,227994.0,1.06,0.69,1.99,22,1.55,79.3,6.63,22.8,종목 42.2% vs KOSPI 22.8%,1.3,트리거: 1285000.00 상향 돌파(20D High) | 품질: close_not_confirm(need>1286285.00),1285000.00 위 '종가확인' + 거래량 유지 시,SMA50(879760.00) 이탈 또는 Stop 1108428.57,"Vol 1.6x, MACD 완만개선",,"돌파 품질 미충족: close_not_confirm(need>1286285.00) (Vol 1.55x, 기준 1.5x)",1278000.0,1108428.57,1615432.14,3.0,3834000.0,150471426650,000150.KS,3,False
