Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
UCTT,Technology,BUY_BREAKOUT,BUY_BREAKOUT,71.96,3.6,1.39,0.8,2.0,31,3.52,83.5,6.55,41.0,종목 63.4% vs SPY -0.8%,1.0,20D High 61.64 돌파 + Vol 3.52x (기준 1.5x),71.96 위에서 분할(돌파 유지 시),SMA50(40.25) 이탈 또는 Stop 62.53,"Vol 3.5x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (652.4),71.96,62.53,90.79,44.0,3166.0,75722130,0,False
SUPN,Healthcare,BUY_BREAKOUT,BUY_BREAKOUT,53.3,4.3,1.76,0.92,1.99,66,2.78,68.9,3.33,21.8,종목 8.4% vs SPY -0.8%,7.5,20D High 51.99 돌파 + Vol 2.78x (기준 1.5x),53.30 위에서 분할(돌파 유지 시),SMA50(50.08) 이탈 또는 Stop 49.75,"20D high 근접, Vol 2.8x (강함), MACD 완만개선, RSI 69",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (652.4),53.3,49.75,60.35,116.0,6183.0,39095707,0,False
PPL,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,38.12,39.1,-0.1,0.9,,57,1.91,70.6,2.16,23.7,,0.4,트리거: 38.14 상향 돌파(20D High),38.14 돌파+거래량 동반 시,SMA50(35.69) 이탈 또는 Stop 36.47,"20D high 근접, Vol 1.9x, MACD 완만개선, RSI 71",,현재 Vol 1.91x,,,,,,446725597,3,False
HEI,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,350.64,67.9,-0.15,0.85,,51,1.22,63.3,2.69,34.8,,3.1,트리거: 353.20 상향 돌파(20D High),353.20 돌파+거래량 동반 시,SMA50(334.82) 이탈 또는 Stop 331.79,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 63",,현재 Vol 1.22x,,,,,,159552602,3,False
NVDA,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,192.85,6608.8,-0.21,0.79,,43,0.93,63.3,3.42,15.7,,9.1,트리거: 194.49 상향 돌파(20D High),194.49 돌파+거래량 동반 시,SMA50(185.11) 이탈 또는 Stop 179.65,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 0.93x,,,,,,32143280601,3,False
ASML,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,1497.8,799.3,-0.24,0.76,,43,0.81,65.7,3.02,16.6,,0.6,트리거: 1493.48 상향 돌파(20D High),1493.48 돌파+거래량 동반 시,SMA50(1284.97) 이탈 또는 Stop 1407.20,"20D high 근접, MACD 완만개선, RSI 66",,현재 Vol 0.81x,,,,,,2682714552,3,False
ABT,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,114.58,287.1,-0.24,0.76,,43,0.8,67.5,1.71,43.5,,18.9,트리거: 115.31 상향 돌파(20D High),115.31 돌파+거래량 동반 시,SMA50(118.34) 이탈 또는 Stop 110.66,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.80x,,,,,,1240757972,3,False
CEG,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,312.64,153.0,-0.24,0.76,,43,1.01,69.2,4.77,36.2,,24.2,트리거: 310.65 상향 돌파(20D High),310.65 돌파+거래량 동반 시,SMA50(316.41) 이탈 또는 Stop 282.79,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 1.01x,,,,,,1194241885,3,False
SO,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,95.81,146.2,-0.24,0.76,,43,0.69,65.4,2.24,37.0,,5.0,트리거: 96.70 상향 돌파(20D High),96.70 돌파+거래량 동반 시,SMA50(88.80) 이탈 또는 Stop 91.52,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.69x,,,,,,679478457,3,False
HAL,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,35.79,43.7,-0.21,0.79,,43,0.76,62.0,3.17,15.8,,0.5,트리거: 35.85 상향 돌파(20D High),35.85 돌파+거래량 동반 시,SMA50(31.96) 이탈 또는 Stop 33.52,"20D high 근접, MACD 완만개선, RSI 62",,현재 Vol 0.76x,,,,,,421697354,3,False
DG,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,153.96,47.1,-0.21,0.79,,43,0.85,60.6,2.97,22.3,,0.7,트리거: 155.00 상향 돌파(20D High),155.00 돌파+거래량 동반 시,SMA50(143.95) 이탈 또는 Stop 144.81,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.85x,,,,,,383815589,3,False
HII,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,447.73,24.1,-0.21,0.79,,43,0.53,55.1,4.58,28.5,,0.3,트리거: 447.74 상향 돌파(20D High),447.74 돌파+거래량 동반 시,SMA50(389.19) 이탈 또는 Stop 406.74,"20D high 근접, MACD 완만개선, RSI 55",,현재 Vol 0.53x,,,,,,244047755,3,False
CHD,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,105.08,35.3,-0.24,0.76,,43,0.6,70.5,2.19,63.9,,9.8,트리거: 105.75 상향 돌파(20D High),105.75 돌파+거래량 동반 시,SMA50(91.83) 이탈 또는 Stop 100.47,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.60x,,,,,,243251361,3,False
FNV,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,273.32,71.5,-0.24,0.76,,43,0.51,66.6,4.08,20.5,,0.8,트리거: 273.56 상향 돌파(20D High),273.56 돌파+거래량 동반 시,SMA50(235.13) 이탈 또는 Stop 251.03,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.51x,,,,,,222932044,3,False
SFM,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,73.95,9.9,-0.21,0.79,,43,1.14,65.2,4.32,29.8,,59.4,트리거: 72.61 상향 돌파(20D High),72.61 돌파+거래량 동반 시,SMA50(74.42) 이탈 또는 Stop 67.55,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 1.14x,,,,,,220130930,3,False
AGI,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,50.56,27.8,-0.27,0.73,,43,0.58,70.5,5.65,16.2,,0.6,트리거: 49.83 상향 돌파(20D High),49.83 돌파+거래량 동반 시,SMA50(41.37) 이탈 또는 Stop 44.85,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.58x,,,,,,217015929,3,False
